city,date,temperature_2m,wind_speed_10m,precipitation
New York,2026-06-01 17:00:00+00:00,22.0135,13.779114,0.0
New York,2026-06-01 18:00:00+00:00,20.9135,17.826363,0.0
New York,2026-06-01 19:00:00+00:00,21.563501,10.483357,0.0
New York,2026-06-01 20:00:00+00:00,20.6635,9.9571085,0.0
New York,2026-06-01 21:00:00+00:00,20.8635,16.323528,0.0
New York,2026-06-01 22:00:00+00:00,18.1635,11.631956,0.0
New York,2026-06-01 23:00:00+00:00,16.7635,14.84318,0.0
New York,2026-06-02 00:00:00+00:00,15.4135,13.70839,0.0
New York,2026-06-02 01:00:00+00:00,14.4635,9.178235,0.0
New York,2026-06-02 02:00:00+00:00,13.4635,5.8603754,0.0
New York,2026-06-02 03:00:00+00:00,12.313499,4.8965297,0.0
New York,2026-06-02 04:00:00+00:00,11.3635,2.4149535,0.0
New York,2026-06-02 05:00:00+00:00,10.813499,1.484318,0.0
New York,2026-06-02 06:00:00+00:00,10.313499,2.8116899,0.0
New York,2026-06-02 07:00:00+00:00,9.8635,3.671294,0.0
New York,2026-06-02 08:00:00+00:00,9.763499,4.32,0.0
New York,2026-06-02 09:00:00+00:00,9.313499,4.379589,0.0
New York,2026-06-02 10:00:00+00:00,9.813499,6.2145634,0.0
New York,2026-06-02 11:00:00+00:00,11.8635,8.089993,0.0
New York,2026-06-02 12:00:00+00:00,14.313499,8.854829,0.0
New York,2026-06-02 13:00:00+00:00,16.813501,12.181624,0.0
New York,2026-06-02 14:00:00+00:00,19.6135,11.966954,0.0
New York,2026-06-02 15:00:00+00:00,22.0135,13.324863,0.0
New York,2026-06-02 16:00:00+00:00,23.7635,18.733839,0.0
New York,2026-06-02 17:00:00+00:00,24.4135,18.089775,0.0
New York,2026-06-02 18:00:00+00:00,25.213501,20.883104,0.0
New York,2026-06-02 19:00:00+00:00,25.5135,17.462784,0.0
New York,2026-06-02 20:00:00+00:00,25.5135,18.416384,0.0
New York,2026-06-02 21:00:00+00:00,25.463501,17.057314,0.0
New York,2026-06-02 22:00:00+00:00,24.813501,14.081478,0.0
New York,2026-06-02 23:00:00+00:00,24.3635,11.090103,0.0
Zurich,2026-05-27 00:00:00+00:00,21.5145,2.0991426,0.0
Zurich,2026-05-27 01:00:00+00:00,20.7645,1.9386592,0.0
Zurich,2026-05-27 02:00:00+00:00,20.3645,2.1897945,0.0
Zurich,2026-05-27 03:00:00+00:00,19.8145,1.484318,0.0
Zurich,2026-05-27 04:00:00+00:00,19.2645,2.8116899,0.0
Zurich,2026-05-27 05:00:00+00:00,19.7645,2.2768397,0.0
Zurich,2026-05-27 06:00:00+00:00,21.1145,0.8049845,0.0
Zurich,2026-05-27 07:00:00+00:00,23.0645,0.5091169,0.0
Zurich,2026-05-27 08:00:00+00:00,24.7645,2.3051248,0.0
Zurich,2026-05-27 09:00:00+00:00,26.7645,4.379589,0.0
Zurich,2026-05-27 10:00:00+00:00,28.2145,6.162207,0.0
Zurich,2026-05-27 11:00:00+00:00,29.3645,4.5536795,0.0
Zurich,2026-05-27 12:00:00+00:00,30.7145,3.219938,0.0
Zurich,2026-05-27 13:00:00+00:00,31.2645,7.4128532,0.0
Zurich,2026-05-27 14:00:00+00:00,31.414501,10.137692,0.0
Zurich,2026-05-27 15:00:00+00:00,30.414501,10.137692,0.0
Zurich,2026-05-27 16:00:00+00:00,29.5145,10.483357,0.0
Zurich,2026-05-27 17:00:00+00:00,29.3145,9.72,0.0
Zurich,2026-05-27 18:00:00+00:00,28.5145,9.178235,0.0
Zurich,2026-05-27 19:00:00+00:00,26.2145,9.511088,0.0
Zurich,2026-05-27 20:00:00+00:00,25.2145,7.6367526,0.0
Zurich,2026-05-27 21:00:00+00:00,23.914501,8.217153,0.0
Zurich,2026-05-27 22:00:00+00:00,22.914501,4.3498964,0.0
Zurich,2026-05-27 23:00:00+00:00,22.0645,4.3498964,0.0
Zurich,2026-05-28 00:00:00+00:00,21.2645,5.3517847,0.0
Zurich,2026-05-28 01:00:00+00:00,20.4645,5.5887027,0.0
Zurich,2026-05-28 02:00:00+00:00,19.7145,6.9899354,0.0
Zurich,2026-05-28 03:00:00+00:00,19.0145,6.5693827,0.0
Zurich,2026-05-28 04:00:00+00:00,18.2645,5.3999996,0.0
Zurich,2026-05-28 05:00:00+00:00,18.2145,5.771239,0.0
Zurich,2026-05-28 06:00:00+00:00,19.5145,6.519877,0.0
Zurich,2026-05-28 07:00:00+00:00,20.8145,6.924738,0.0
Zurich,2026-05-28 08:00:00+00:00,22.8645,8.12197,0.0
Zurich,2026-05-28 09:00:00+00:00,24.914501,8.891344,0.0
Zurich,2026-05-28 10:00:00+00:00,26.5145,10.495713,0.0
Zurich,2026-05-28 11:00:00+00:00,27.7645,10.787993,0.0
Zurich,2026-05-28 12:00:00+00:00,28.164501,10.630672,0.0
Zurich,2026-05-28 13:00:00+00:00,28.8145,10.587918,0.0
Zurich,2026-05-28 14:00:00+00:00,29.2645,10.296251,0.0
Zurich,2026-05-28 15:00:00+00:00,28.7145,9.931042,0.0
Zurich,2026-05-28 16:00:00+00:00,28.164501,7.8954163,0.0
Zurich,2026-05-28 17:00:00+00:00,25.7645,8.557102,0.0
Zurich,2026-05-28 18:00:00+00:00,26.2145,8.089993,0.0
Zurich,2026-05-28 19:00:00+00:00,25.3145,7.928178,0.0
Zurich,2026-05-28 20:00:00+00:00,24.164501,8.557102,0.0
Zurich,2026-05-28 21:00:00+00:00,22.8145,6.489992,0.0
Zurich,2026-05-28 22:00:00+00:00,21.7145,4.8433046,0.0
Zurich,2026-05-28 23:00:00+00:00,20.7145,4.829907,0.0
Zurich,2026-05-29 00:00:00+00:00,19.8145,6.0347,0.0
Zurich,2026-05-29 01:00:00+00:00,18.914501,5.1544156,0.0
Zurich,2026-05-29 02:00:00+00:00,17.8145,5.771239,0.0
Zurich,2026-05-29 03:00:00+00:00,16.2145,5.4119864,0.0
Zurich,2026-05-29 04:00:00+00:00,15.6645,4.6938252,0.0
Zurich,2026-05-29 05:00:00+00:00,15.9645,5.0528407,0.0
Zurich,2026-05-29 06:00:00+00:00,17.414501,3.96,0.0
Zurich,2026-05-29 07:00:00+00:00,19.7645,4.32,0.0
Zurich,2026-05-29 08:00:00+00:00,21.6145,7.5942073,0.0
Zurich,2026-05-29 09:00:00+00:00,24.0145,8.089993,0.0
Zurich,2026-05-29 10:00:00+00:00,25.7145,9.793059,0.0
Zurich,2026-05-29 11:00:00+00:00,27.1145,9.220499,0.0
Zurich,2026-05-29 12:00:00+00:00,27.8645,9.693296,0.0
Zurich,2026-05-29 13:00:00+00:00,28.7645,10.948973,0.0
Zurich,2026-05-29 14:00:00+00:00,29.3645,11.090103,0.0
Zurich,2026-05-29 15:00:00+00:00,29.5145,11.681987,0.0
Zurich,2026-05-29 16:00:00+00:00,29.2645,11.384198,0.0
Zurich,2026-05-29 17:00:00+00:00,28.664501,10.296251,0.0
Zurich,2026-05-29 18:00:00+00:00,27.9645,8.311245,0.0
Zurich,2026-05-29 19:00:00+00:00,26.5645,4.32,0.0
Zurich,2026-05-29 20:00:00+00:00,24.1145,3.7585104,0.0
Zurich,2026-05-29 21:00:00+00:00,21.9645,2.2768397,0.0
Zurich,2026-05-29 22:00:00+00:00,20.2645,4.510787,0.0
Zurich,2026-05-29 23:00:00+00:00,19.3145,2.7416782,0.0
Zurich,2026-05-30 00:00:00+00:00,18.1145,3.0758414,0.0
Zurich,2026-05-30 01:00:00+00:00,17.414501,3.563818,0.0
Zurich,2026-05-30 02:00:00+00:00,16.4645,3.8773184,0.0
Zurich,2026-05-30 03:00:00+00:00,15.7145,4.0249224,0.0
Zurich,2026-05-30 04:00:00+00:00,15.6145,5.0528407,0.0
Zurich,2026-05-30 05:00:00+00:00,15.814501,6.162207,0.0
Zurich,2026-05-30 06:00:00+00:00,16.7145,5.3517847,0.0
